"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2008"	"2008"	104	497366	20.9
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2009"	"2009"	109	494688	22.0
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2010"	"2010"	111	494593	22.4
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2011"	"2011"	90	494804	18.2
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2012"	"2012"	86	496950	17.3
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2013"	"2013"	101	500800	20.2
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2014"	"2014"	75	507531	14.8
	"Florida"	"12"	"Wakulla County, FL"	"12129"	"2006"	"2006"	Suppressed	27785	Suppressed
	"Florida"	"12"	"Wakulla County, FL"	"12129"	"2007"	"2007"	Suppressed	28588	Suppressed
	"Florida"	"12"	"Wakulla County, FL"	"12129"	"2008"	"2008"	Suppressed	29183	Suppressed
	"Florida"	"12"	"Wakulla County, FL"	"12129"	"2009"	"2009"	Suppressed	30459	Suppressed
	"Florida"	"12"	"Wakulla County, FL"	"12129"	"2010"	"2010"	Suppressed	30776	Suppressed
	"Florida"	"12"	"Wakulla County, FL"	"12129"	"2011"	"2011"	Suppressed	30978	Suppressed
	"Florida"	"12"	"Wakulla County, FL"	"12129"	"2012"	"2012"	Suppressed	30818	Suppressed
	"Florida"	"12"	"Wakulla County, FL"	"12129"	"2013"	"2013"	Suppressed	31022	Suppressed
	"Florida"	"12"	"Wakulla County, FL"	"12129"	"2014"	"2014"	Suppressed	31432	Suppressed
	"Florida"	"12"	"Walton County, FL"	"12131"	"2006"	"2006"	17	51145	Unreliable
	"Florida"	"12"	"Walton County, FL"	"12131"	"2007"	"2007"	12	52355	Unreliable
	"Florida"	"12"	"Walton County, FL"	"12131"	"2008"	"2008"	10	53563	Unreliable
	"Florida"	"12"	"Walton County, FL"	"12131"	"2009"	"2009"	12	54534	Unreliable
	"Florida"	"12"	"Walton County, FL"	"12131"	"2010"	"2010"	Suppressed	55043	Suppressed
	"Florida"	"12"	"Walton County, FL"	"12131"	"2011"	"2011"	Suppressed	55793	Suppressed
	"Florida"	"12"	"Walton County, FL"	"12131"	"2012"	"2012"	10	57582	Unreliable
	"Florida"	"12"	"Walton County, FL"	"12131"	"2013"	"2013"	Suppressed	59807	Suppressed
	"Florida"	"12"	"Walton County, FL"	"12131"	"2014"	"2014"	Suppressed	61530	Suppressed
	"Florida"	"12"	"Washington County, FL"	"12133"	"2006"	"2006"	Suppressed	22860	Suppressed
	"Florida"	"12"	"Washington County, FL"	"12133"	"2007"	"2007"	Suppressed	23469	Suppressed
	"Florida"	"12"	"Washington County, FL"	"12133"	"2008"	"2008"	Suppressed	24706	Suppressed
	"Florida"	"12"	"Washington County, FL"	"12133"	"2009"	"2009"	Suppressed	24693	Suppressed
	"Florida"	"12"	"Washington County, FL"	"12133"	"2010"	"2010"	Suppressed	24896	Suppressed
	"Florida"	"12"	"Washington County, FL"	"12133"	"2011"	"2011"	Suppressed	24935	Suppressed
	"Florida"	"12"	"Washington County, FL"	"12133"	"2012"	"2012"	Suppressed	24892	Suppressed
	"Florida"	"12"	"Washington County, FL"	"12133"	"2013"	"2013"	Suppressed	24624	Suppressed
	"Florida"	"12"	"Washington County, FL"	"12133"	"2014"	"2014"	Suppressed	24451	Suppressed
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide (X60-X64);"
"Drug poisonings (overdose) Homicide (X85); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"States: Florida (12)"
"Year/Month: 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014"
"Group By: State; County; Year"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 1, 2026 7:19:38 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on May 1, 2026 7:19:38 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
