"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Nebraska"	"31"	"Webster County, NE"	"31181"	"2011"	"2011"	0	3775	Unreliable
	"Nebraska"	"31"	"Webster County, NE"	"31181"	"2012"	"2012"	0	3725	Unreliable
	"Nebraska"	"31"	"Webster County, NE"	"31181"	"2013"	"2013"	0	3688	Unreliable
	"Nebraska"	"31"	"Webster County, NE"	"31181"	"2014"	"2014"	0	3658	Unreliable
	"Nebraska"	"31"	"Wheeler County, NE"	"31183"	"2006"	"2006"	0	826	Unreliable
	"Nebraska"	"31"	"Wheeler County, NE"	"31183"	"2007"	"2007"	0	837	Unreliable
	"Nebraska"	"31"	"Wheeler County, NE"	"31183"	"2008"	"2008"	0	831	Unreliable
	"Nebraska"	"31"	"Wheeler County, NE"	"31183"	"2009"	"2009"	0	809	Unreliable
	"Nebraska"	"31"	"Wheeler County, NE"	"31183"	"2010"	"2010"	0	818	Unreliable
	"Nebraska"	"31"	"Wheeler County, NE"	"31183"	"2011"	"2011"	0	818	Unreliable
	"Nebraska"	"31"	"Wheeler County, NE"	"31183"	"2012"	"2012"	0	805	Unreliable
	"Nebraska"	"31"	"Wheeler County, NE"	"31183"	"2013"	"2013"	0	759	Unreliable
	"Nebraska"	"31"	"Wheeler County, NE"	"31183"	"2014"	"2014"	Suppressed	766	Suppressed
	"Nebraska"	"31"	"York County, NE"	"31185"	"2006"	"2006"	0	14130	Unreliable
	"Nebraska"	"31"	"York County, NE"	"31185"	"2007"	"2007"	Suppressed	14078	Suppressed
	"Nebraska"	"31"	"York County, NE"	"31185"	"2008"	"2008"	Suppressed	13881	Suppressed
	"Nebraska"	"31"	"York County, NE"	"31185"	"2009"	"2009"	Suppressed	13689	Suppressed
	"Nebraska"	"31"	"York County, NE"	"31185"	"2010"	"2010"	0	13665	Unreliable
	"Nebraska"	"31"	"York County, NE"	"31185"	"2011"	"2011"	Suppressed	13726	Suppressed
	"Nebraska"	"31"	"York County, NE"	"31185"	"2012"	"2012"	0	13746	Unreliable
	"Nebraska"	"31"	"York County, NE"	"31185"	"2013"	"2013"	Suppressed	13883	Suppressed
	"Nebraska"	"31"	"York County, NE"	"31185"	"2014"	"2014"	0	13917	Unreliable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide (X60-X64);"
"Drug poisonings (overdose) Homicide (X85); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"States: Nebraska (31)"
"Year/Month: 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014"
"Group By: State; County; Year"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 1, 2026 7:37:18 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on May 1, 2026 7:37:18 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
